recipe_name,ingredient_name,ingredient_base,quantity_per_serving,unit,category
Pollo con salsa de coco,pollo (pechuga o muslo),pollo ,500,g,Ingredientes
Pollo con salsa de coco,aceite oliva,aceite de oliva,2,cucharada,Especias
Pollo con salsa de coco,pure de tomate,pure de tomate,150,ml,Ingredientes
Pollo con salsa de coco,vainilla,vainilla,0.5,vaina,Especias
Pollo con salsa de coco,"pimiento rojo, cortado en dados",pimiento rojo,1,unidad,Ingredientes
Pollo con salsa de coco,granos de mostaza,mostaza de Dijon,0.5,cucharadita,Especias
Pollo con salsa de coco,"cebolla grande, cortada en dados",cebolla,1,unidad,Ingredientes
Pollo con salsa de coco,comino molido,comino molido,0.5,cucharaditas,Especias
Pollo con salsa de coco,leche de coco,leche de coco,250,ml,Ingredientes
Pollo con salsa de coco,"hebras de azafran, diluidas en 3 cucharadas de agua caliente",azafran,1,unidad,Especias
Pollo con salsa de coco,Cilantro,Cilantro,1,unidad,Especias
Ternera y patatas con queso,ternera (130 g cada uno),ternera,4,filetes,Ingredientes
Ternera y patatas con queso,Sal y pimienta,Sal y pimienta,1,unidad,Especias
Ternera y patatas con queso,patatas pelado y cortadas en dados,patatas,800,g,Ingredientes
Ternera y patatas con queso,aceite vegetal,aceite de oliva,2,cucharada,Especias
Ternera y patatas con queso,nata,nata ,150,ml,Ingredientes
Ternera y patatas con queso,caldo de ternera,caldo de carne,70,ml,Ingredientes
Ternera y patatas con queso,queso cheddar rallado (u otro queso que se funda),queso rallado,120,g,Ingredientes
Pollo picante Vindaloo,"cebolla, picada",cebolla,160,g,Ingredientes
Pollo picante Vindaloo,jengibre picado,jengibre,2,cucharadas,Especias
Pollo picante Vindaloo,vinagre blanco,vinagre blanco,60,ml,Ingredientes
Pollo picante Vindaloo,aceite oliva,aceite de oliva,1,cucharadas,Especias
Pollo picante Vindaloo,"tomates, cortados en dados",tomate,150,g,Ingredientes
Pollo picante Vindaloo,Sal y pimienta,Sal y pimienta,1,cucharaditas,Especias
Pollo picante Vindaloo,muslo de pollo deshuesado y sin piel,pollo ,450,g,Ingredientes
Pollo picante Vindaloo,garam masala,garam masala,1,cucharaditas,Especias
Pollo picante Vindaloo,caldo de pollo,caldo de pollo,60,ml,Ingredientes
Pollo picante Vindaloo,pimentn ahumado,pimenton,1,cucharadita,Especias
Pollo picante Vindaloo,pimienta de cayena,cayena,1,cucharadita,Especias
Pollo picante Vindaloo,cilantro molido,Cilantro,0.5,cucharadita,Especias
Pollo picante Vindaloo,comino molido,comino molido,0.5,cucharadita,Especias
Pollo picante Vindaloo,sal y pimienta,sal y pimienta,1,unidad,Especias
Pollo picante Vindaloo,curcuma,curcuma,0.5,cucharadita,Especias
Rosbif a fuego lento,carne de ternera o redondo superior,ternera,1,kg,Ingredientes
Rosbif a fuego lento,azucar,azucar,2,cucharaditas,Especias
Rosbif a fuego lento,caldo de carne,caldo de carne,500,ml,Ingredientes
Rosbif a fuego lento,Sal y pimienta,Sal y pimienta,1,cucharaditas,Especias
Rosbif a fuego lento,vino tinto,vino tinto,180,ml,Ingredientes
Rosbif a fuego lento,"zanahorias, picadas en trozos grandes",zanahoria,2,unidad,Ingredientes
Rosbif a fuego lento,aceite de oliva,aceite de oliva,1,cucharada,Especias
Rosbif a fuego lento,"cebolla, cortada en rodajas",cebolla,1,unidad,Ingredientes
Rosbif a fuego lento,sal y pimienta,sal y pimienta,1,unidad,Especias
Rosbif a fuego lento,harina de maiz,harina de maiz,6,cucharadas,Ingredientes
Rosbif a fuego lento,pure de tomate,pure de tomate,3,cucharadas,Ingredientes
Cazuela de ternera y cerveza,ternera para estofar o guisar cortada en dados,ternera,500,g,Ingredientes
Cazuela de ternera y cerveza,aceite oliva,aceite de oliva,1,cucharada,Especias
Cazuela de ternera y cerveza,"cebolla, picada",cebolla,200,g,Ingredientes
Cazuela de ternera y cerveza,laurel secas,laurel ,2,hojas,Especias
Cazuela de ternera y cerveza,"zanahorias, peladas y cortadas (1,5 cm)",zanahoria,300,g,Ingredientes
Cazuela de ternera y cerveza,tomillo fresco,tomillo,4,ramitas,Especias
Cazuela de ternera y cerveza,caldo de carne,caldo de carne,150,ml,Ingredientes
Cazuela de ternera y cerveza,azucar,azucar,0.5,cucharadita,Especias
Cazuela de ternera y cerveza,mostaza de Dijon,mostaza de Dijon,2,cucharadita,Ingredientes
Cazuela de ternera y cerveza,Harina de maz,harina de maiz,1,unidad,Especias
Cazuela de ternera y cerveza,cerveza Irish Stout,cerveza Irish Stout,250,ml,Ingredientes
Cazuela de ternera y cerveza,sal y pimienta,sal y pimienta,1,unidad,Especias
Estofado de lentejas con chorizo,"cebolla, picada",cebolla,1,unidad,Ingredientes
Estofado de lentejas con chorizo,aceite de oliva,aceite de oliva,1,cucharadita,Especias
Estofado de lentejas con chorizo,zanahoria cortada en dados,zanahoria,1,unidad,Ingredientes
Estofado de lentejas con chorizo,pimenton dulce,pimenton,1,pizca,Especias
Estofado de lentejas con chorizo,"pimiento rojo, cortado en dados",pimiento rojo,1,unidad,Ingredientes
Estofado de lentejas con chorizo,laurel,laurel,1,hoja,Especias
Estofado de lentejas con chorizo,"patatas, cortadas en trozos",patatas,140,g,Ingredientes
Estofado de lentejas con chorizo,Sal y pimienta,Sal y pimienta,1,unidad,Especias
Estofado de lentejas con chorizo,chorizo,chorizo,80,g,Ingredientes
Estofado de lentejas con chorizo,tomates picados,tomate,100,g,Ingredientes
Estofado de lentejas con chorizo,lentejas verdes secas,lentejas,200,g,Ingredientes
Estofado de lentejas con chorizo,caldo de pollo,caldo de pollo,900,ml,Ingredientes
Albndigas de ternera,huevo,huevo,1,huevo,Ingredientes
Albndigas de ternera,ras el hanout,ras el hanout,1,cucharadas,Especias
Albndigas de ternera,pan rallado,pan rallado,40,g,Ingredientes
Albndigas de ternera,sal y pimienta,sal y pimienta,1,unidad,Especias
Albndigas de ternera,ternera picada,ternera picada,600,g,Ingredientes
Albndigas de ternera,"cebolla, cortada en juliana",cebolla,150,g,Ingredientes
Albndigas de ternera,pure de tomate,pure de tomate,400,g,Ingredientes
Albndigas de ternera,caldo de verduras,caldo de verduras,100,ml,Ingredientes
Sano y sabroso arroz al curry con garbanzos y tofu mas carne,"arroz basmati, enjuagado",arroz,250,g,Ingredientes
Sano y sabroso arroz al curry con garbanzos y tofu mas carne,Sal y pimienta,Sal y pimienta,1,unidad,Especias
Sano y sabroso arroz al curry con garbanzos y tofu mas carne,garbanzos en conserva,garbanzos,100,g,Ingredientes
Sano y sabroso arroz al curry con garbanzos y tofu mas carne,tofu cortado en cubitos,tofu ,300,g,Ingredientes
Sano y sabroso arroz al curry con garbanzos y tofu mas carne,salsa de curry lista para servir,salsa de curry,200,g,Ingredientes
Sano y sabroso arroz al curry con garbanzos y tofu mas carne,caldo de verduras (o agua),caldo de verduras ,340,ml,Ingredientes
Sano y sabroso arroz al curry con garbanzos y tofu mas carne,leche de coco,leche de coco,150,ml,Ingredientes
Sano y sabroso arroz al curry con garbanzos y tofu mas carne,carne en medallones,carne ,300,g,Ingredientes
pastel de Carne,ternera picada,ternera picada,500,g,Ingredientes
pastel de Carne,sal y pimienta,sal y pimienta,1,unidad,Especias
pastel de Carne,"pimiento rojo, cortado en dados",pimiento rojo,1,unidad,Ingredientes
pastel de Carne,"cebolla grande, cortada en dados",cebolla ,1,unidad,Ingredientes
pastel de Carne,aceitunas,aceitunas,50,g,Ingredientes
pastel de Carne,papatas,patatas,500,g,Ingredientes
pastel de Carne,matequilla,matequilla,15,gr,Ingredientes
pastel de Carne,nata,nata,50,ml,Ingredientes
pollo a la pimienta,pollo (pechuga o muslo),pollo,500,g,Ingredientes
pollo a la pimienta,sal y pimienta,sal y pimienta,1,unidad,Especias
pollo a la pimienta,champiniones,champiniones,400,g,Ingredientes
pollo a la pimienta,nata,nata,200,ml,Ingredientes
pollo a la pimienta,arroz basmati integral,arroz,250,g,Ingredientes
carne a la pimienta,ternera para estofar o guisar cortada en dados,ternera,500,g,Ingredientes
carne a la pimienta,sal y pimienta,sal y pimienta,1,unidad,Especias
carne a la pimienta,champiniones,champiniones,400,g,Ingredientes
carne a la pimienta,nata,nata,200,ml,Ingredientes
carne a la pimienta,arroz basmati integral,arroz,250,g,Ingredientes
Risotto de pollo y chorizo,chorizo cortado en dados,chorizo,100,g,Ingredientes
Risotto de pollo y chorizo,pimenton dulce,pimenton,1,cucharadita,Especias
Risotto de pollo y chorizo,"muslos de pollo deshuesados y sin piel, cortados en dados",pollo,250,g,Ingredientes
Risotto de pollo y chorizo,aceite,aceite de oliva,1,cucharada,Especias
Risotto de pollo y chorizo,cebolla roja picada,cebolla,150,g,Ingredientes
Risotto de pollo y chorizo,sal y pimienta,sal y pimienta,1,unidad,Especias
Risotto de pollo y chorizo,arroz arborio,arroz arborio,300,g,Ingredientes
Risotto de pollo y chorizo,tomates secos cortados en trozos grandes,tomates secos,60,g,Ingredientes
Risotto de pollo y chorizo,caldo de pollo,caldo de pollo,600,ml,Ingredientes
Risotto de pollo y chorizo,pimiento rojo cortado en dados (2-3 cm),pimiento rojo,50,g,Ingredientes
Risotto de setas y espinacas,"puerros, cortados en rodajas finas",puerro,50,g,Ingredientes
Risotto de setas y espinacas,sal y pimienta,sal y pimienta,1,unidad,Especias
Risotto de setas y espinacas,arroz arborio,arroz arborio,300,g,Ingredientes
Risotto de setas y espinacas,aceite de oliva,aceite de oliva,1,cucharadas,Especias
Risotto de setas y espinacas,championes cortados en rodajas,champiniones,250,g,Ingredientes
Risotto de setas y espinacas,caldo de verduras,caldo de verduras,750,ml,Ingredientes
Risotto de setas y espinacas,hojas de espinacas baby picadas en trocitos pequeos,espinaca,75,g,Ingredientes
Risotto de setas y espinacas,carne en medallones,ternera,300,g,Ingredientes
Noquis,patatas,patatas,400,g,Ingredientes
Noquis,sal y pimienta,sal y pimienta,1,unidad,Especias
Noquis,harina,harina,400,g,Ingredientes
Noquis,espinaca,espinaca,250,g,Ingredientes
tarta de zapallito,Shortcrust Pastry 230g,base de tarta,1,unidad,Ingredientes
tarta de zapallito,aceite oliva,aceite de oliva,1,cucharada,Especias
tarta de zapallito,calabacin,calabacin,150,g,Ingredientes
tarta de zapallito,sal y pimienta,sal y pimienta,1,unidad,Especias
tarta de zapallito,"cebolla, picada",cebolla,1,unidad,Ingredientes
tarta de zapallito,pimenton dulce,pimenton,1,cucharadita,Especias
tarta de zapallito,"pimiento rojo, cortado en dados",pimiento rojo,1,unidad,Ingredientes
tarta de zapallito,puerro,puerro,1,unidad,Ingredientes
tarta de zapallito,ricotta,ricotta,250,g,Ingredientes
tarta de zapallito,parmesano rallado,parmesano,50,g,Ingredientes
tarta de zapallito,queso rallado semicurado,queso rallado,50,g,Ingredientes
tarta de zapallito,huevo,huevo,1,unidad,Ingredientes